Brand,Model,Version,Category,Year,Kms,Hp,Gear_type,Fuel_type,Fuel_cons,Doors,ZIP,Province,Price_EUR
Mazda,3,2.0 Black Tech Edition 121kW,Small,2018,50400,165,Manual,Petrol,5.8,5,28049,Madrid,14300
Audi,A3,Sedán 1.6TDI S tronic 85kW,Small,2018,107224,116,Automatic,Diesel,3.9,5,28021,Madrid,14590
Toyota,Auris,hybrid 140H Active,Small,2017,24895,136,Automatic,Hybrid,4.0,5,28806,Madrid,14600
Volkswagen,Golf,1.6TDI Advance DSG7 85kW,Small,2019,112785,116,Automatic,Diesel,4.0,5,28021,Madrid,14690
Infiniti,Q30,1.5d Premium,Small,2017,49127,109,Manual,Diesel,3.9,5,28021,Madrid,14690
BMW,116,d,Small,2019,115000,116,Automatic,Diesel,4.2,5,28891,Madrid,14900
Opel,Astra,1.6T S/S GSi Line 200,Small,2018,47829,200,Manual,Petrol,6.1,5,28021,Madrid,14990
Lexus,CT 200h,F Sport,Small,2017,112989,136,Automatic,Hybrid,3.8,5,28021,Madrid,14990
Ford,Focus,1.0 Ecoboost Active 125,Small,2019,19186,125,Manual,Petrol,4.6,5,28044,Madrid,15000
BMW,116,i,Small,2019,26059,109,Manual,Petrol,5.9,5,28002,Madrid,15400
BMW,118,118d,Small,2018,93164,150,Manual,Diesel,4.4,5,28021,Madrid,15490
BMW,116,116d,Small,2017,87450,116,Manual,Diesel,4.1,5,28037,Madrid,15490
BMW,116,i,Small,2019,25705,109,Manual,Petrol,5.9,5,28002,Madrid,15500
Volkswagen,Golf,2.0TDI Advance DSG7 110kW,Small,2017,51413,150,Automatic,Diesel,4.3,5,28021,Madrid,15990
Volvo,V40,T3 Kinetic Aut.,Small,2018,74919,152,Automatic,Petrol,5.5,5,28021,Madrid,16190
Audi,A3,2.0 TFSI Sport Edition Q. S tronic 140kW,Small,2017,105994,190,Automatic,Petrol,5.8,5,28021,Madrid,16490
SEAT,Leon,1.5 TGI GNC S&S FR Fast Edition DSG7 130,Small,2020,21935,131,Automatic,Compressed Natural Gas \(CNG\),5.4,5,28021,Madrid,16590
Honda,Civic,1.6 i-DTEC Executive Premium,Small,2018,60272,120,Manual,Diesel,3.5,5,28021,Madrid,16690
Audi,A3,Sportback 2.0TDI Design Edition 110kW,Small,2018,93702,150,Manual,Diesel,4.3,5,28021,Madrid,16790
Hyundai,Ioniq,EV 88kW Klass,Small,2018,49000,120,Automatic,Electric,0.0,5,28860,Madrid,16900
BMW,116,116d,Small,2017,14154,116,Manual,Diesel,4.1,5,28021,Madrid,16990
Volvo,V40,D3 R-Design Momentum Aut. 150,Small,2017,57165,150,Automatic,Diesel,4.5,5,28021,Madrid,17290
Audi,A3,Sportback 30 TFSI 85kW,Small,2019,38431,116,Manual,Petrol,5.0,5,28021,Madrid,17290
Audi,A1,Sportback 30 TFSI S line,Small,2019,48186,116,Manual,Petrol,4.9,5,28021,Madrid,17390
Lexus,CT 200h,Sport Edition,Small,2017,110189,136,Automatic,Hybrid,4.1,5,28041,Madrid,17600
Audi,A3,Sportback 35 TFSI Design 110kW,Small,2019,86302,150,Manual,Petrol,5.3,5,28021,Madrid,17790
Audi,A3,Sportback 30 TFSI S Line S tronic 85kW,Small,2019,47418,116,Automatic,Petrol,5.1,5,28021,Madrid,17990
BMW,116,116d,Small,2017,5912,116,Manual,Diesel,3.7,5,28021,Madrid,18190
Audi,A1,Sportback 1.6TDI Adrenalin2 S tronic,Small,2018,14197,116,Automatic,Diesel,3.9,5,28703,Madrid,18190
Audi,A3,Sportback 2.0TDI S tronic 7 110kW,Small,2018,54159,150,Automatic,Diesel,4.3,5,28021,Madrid,18390
BMW,120,120dA,Small,2016,65436,190,Automatic,Diesel,3.9,5,28770,Madrid,18490
Volkswagen,Golf GTI,2.0 TSI DSG 220,Small,2017,118655,220,Automatic,Petrol,6.4,5,28021,Madrid,18690
Audi,A3,Sportback 30 TDI 85kW,Small,2019,18428,116,Manual,Diesel,4.4,5,28021,Madrid,18690
Audi,A3,Sportback 30 TFSI 85kW,Small,2019,15167,116,Manual,Petrol,5.0,5,28021,Madrid,18790
Nissan,Leaf,40 kWh N-Connecta,Small,2020,17897,150,Automatic,Electric,0.0,5,28021,Madrid,18890
Toyota,Corolla,125H Active Tech,Small,2020,10000,122,Automatic,Hybrid,3.3,5,28034,Madrid,19190
BMW,118,iA,Small,2019,52016,136,Automatic,Petrol,4.8,5,28050,Madrid,19299
BMW,120,120iA,Small,2016,62669,184,Automatic,Petrol,5.5,5,28021,Madrid,19490
Mercedes-Benz,A 200,7G-DCT,Small,2017,41866,156,Automatic,Petrol,5.1,5,28770,Madrid,19900
Renault,Megane,1.5dCi Blue GT Line 85kW,Small,2020,14386,116,Manual,Diesel,3.8,5,28914,Madrid,19990
Toyota,Prius,1.8,Small,2020,20509,122,Automatic,Hybrid,3.7,5,28021,Madrid,20190
Audi,A3,Sportback 30 g-tron S tronic 96kW,Small,2019,22416,131,Automatic,Compressed Natural Gas \(CNG\),5.0,5,28050,Madrid,20200
Volkswagen,Golf,2.0TDI Life 85kW,Small,2020,7475,116,Manual,Diesel,0.0,5,28021,Madrid,20890
Mercedes-Benz,A 200,CDI BE AMG Line,Small,2017,72740,136,Automatic,Diesel,4.5,5,28045,Madrid,20990
Audi,A3,Sportback 2.0TDI S Line Edition 110kW,Small,2017,24470,150,Manual,Diesel,4.3,5,28021,Madrid,20990
Renault,Clio,1.6 Energy RS Trophy EDC 162kW,Small,2018,31055,220,Automatic,Petrol,5.9,5,28050,Madrid,21208
Peugeot,208,GT Eléctrico 100kW,Small,2020,10787,136,Automatic,Electric,0.0,5,28021,Madrid,21490
MINI,John Cooper Works,,Small,2016,28840,231,Manual,Petrol,6.7,5,28021,Madrid,21790
Peugeot,208,Allure Eléctrico 100kW,Small,2020,5260,136,Automatic,Electric,0.0,5,28021,Madrid,22190
Volkswagen,Golf,2.0TDI Advance DSG7 110kW,Small,2020,12784,150,Automatic,Diesel,4.3,5,28021,Madrid,22490
Volkswagen,Golf,2.0TDI Advance DSG7 110kW,Small,2020,21125,150,Automatic,Diesel,4.3,5,28021,Madrid,22490
Peugeot,406,1.9 SRSD,Sedan,1998,150000,92,Manual,Diesel,6.4,5,28021,Madrid,1200
BMW,520,520i,Sedan,1996,235000,150,Manual,Petrol,8.0,5,28905,Madrid,3000
Mercedes-Benz,E 320,CDI,Sedan,2001,267000,197,Automatic,Diesel,7.8,5,28108,Madrid,3900
BMW,725,tds,Sedan,1998,246248,143,Manual,Diesel,7.0,5,28850,Madrid,3990
BMW,725,tds,Sedan,1998,246248,143,Manual,Diesel,7.0,5,28025,Madrid,3990
BMW,725,tds,Sedan,1998,246248,143,Manual,Diesel,7.0,5,28500,Madrid,3990
BMW,525,525i,Sedan,2002,150000,192,Manual,Petrol,9.4,5,28035,Madrid,3999
Renault,Safrane,2.0 Si,Sedan,1999,66000,137,Manual,Petrol,10.1,5,28043,Madrid,4800
Mercedes-Benz,C 220,CDI Sport Edition,Sedan,2005,291000,150,Manual,Diesel,6.0,5,28043,Madrid,4800
Lexus,IS 220d,President,Sedan,2008,200000,177,Manual,Diesel,6.3,5,28938,Madrid,4995
Lexus,IS 220d,President,Sedan,2007,184000,177,Manual,Diesel,6.3,5,28938,Madrid,5495
Jaguar,S-Type,3.0 V6 Executive,Sedan,2005,119000,239,Automatic,Petrol,10.7,5,28891,Madrid,5900
Lexus,IS 200,IS 200 President,Sedan,2005,129000,155,Manual,Petrol,9.6,5,28703,Madrid,6250
Opel,Insignia,1.4T Excellence S&S,Sedan,2012,121272,140,Manual,Petrol,5.7,5,28944,Madrid,7490
BMW,330,330i,Sedan,2001,265195,231,Manual,Petrol,9.1,5,28359,Madrid,7500
Peugeot,508,1.6e-HDI BlueLion Business Line CMP,Sedan,2011,185100,111,Automatic,Diesel,4.4,5,28037,Madrid,7600
Fiat,Tipo,1.4 T-Jet 16v Lounge 88kW (120CV) GLP,Sedan,2018,132717,120,Manual,Compressed Natural Gas \(CNG\),8.4,5,28021,Madrid,7890
Mercedes-Benz,C 180,K Sport Edition,Sedan,2005,72000,143,Manual,Petrol,7.9,5,28806,Madrid,7990
Alfa-Romeo,159,2.0JTDM Sport Plus,Sedan,2010,205000,170,Manual,Diesel,5.4,5,28891,Madrid,8500
Peugeot,508,1.6 VTi Access CMP,Sedan,2013,102140,120,Automatic,Petrol,6.2,5,28021,Madrid,8590
