Brand,Model,Version,Category,Year,Kms,Hp,Gear_type,Fuel_type,Fuel_cons,Doors,ZIP,Province,Price_EUR
Porsche,911,3.2 Carrera Coupé,Coupe,1989,26000,230,Manual,Petrol,0.0,3,29660,Málaga,89900
Ferrari,California,T,Coupe,2015,32000,560,Automatic,Petrol,10.5,3,29660,Málaga,131900
Porsche,992,Carrera S Coupé PDK,Coupe,2019,12300,450,Automatic,Petrol,8.9,3,29600,Málaga,133900
Volvo,C70,2.3 / T5,Coupe,2000,88100,239,Manual,Petrol,10.0,3,29620,Málaga,7900
BMW,318,Ci Cabrio,Convertible,2004,241000,143,Manual,Petrol,7.4,3,29004,Málaga,6000
Abarth,595C,1.4T-Jet 107kW,Convertible,2017,30600,145,Manual,Petrol,6.6,3,29651,Málaga,15899
Land-Rover,Range Rover Evoque,Convertible 2.0TD4 SE Dynamic 4WD 180 Aut,Convertible,2016,28000,179,Automatic,Diesel,5.7,3,29603,Málaga,45990
BMW,420,420i Cabrio,Convertible,2016,51700,184,Manual,Petrol,6.2,3,29620,Málaga,25490
Audi,A5,Cabrio 40 TDI S line S tronic,Convertible,2019,14040,190,Automatic,Diesel,4.6,3,29004,Málaga,40940
Mercedes-Benz,E 300,Cabrio 9G-Tronic,Convertible,2018,96711,245,Automatic,Petrol,6.9,3,29004,Málaga,42890
Audi,A5,Cabrio 40 TDI S line S tronic,Convertible,2019,43080,190,Automatic,Diesel,4.6,3,29006,Málaga,43900
Land-Rover,Range Rover Evoque,Rove Convertible 2.0TD4 HSE Dynamic 4WD 180 Aut,Convertible,2016,54980,179,Automatic,Diesel,5.7,3,29004,Málaga,49900
Peugeot,206,Coupé Cabrio 1.6,Convertible,2002,173700,109,Manual,Petrol,7.0,3,29750,Málaga,2290
Peugeot,206,CC 1.6 Aut.,Convertible,2002,158706,109,Automatic,Petrol,6.9,3,29620,Málaga,2700
Renault,Megane,Cabrio 1.9 dCi Luxe Dynamique,Convertible,2005,284000,120,Manual,Diesel,5.5,3,29006,Málaga,2800
Peugeot,206,CC 1.6,Convertible,2005,152800,109,Manual,Petrol,7.0,3,29750,Málaga,2900
Renault,Megane,C.C. 1.9DCI Luxe Dynamique,Convertible,2005,215955,120,Manual,Diesel,5.5,3,29620,Málaga,2900
Peugeot,307,CC 1.6,Convertible,2006,213400,109,Manual,Petrol,7.6,3,29750,Málaga,2990
Opel,Tigra,1.4 16v Edition,Convertible,2004,168254,90,Manual,Petrol,6.1,3,29620,Málaga,3400
Renault,Megane,Cabrio 2.0 16V dCi Luxe,Convertible,2006,243000,150,Manual,Diesel,5.7,3,29750,Málaga,3750
Renault,Megane,Cabrio 2.0 Turbo 16V Luxe Dynamique,Convertible,2005,111300,165,Manual,Petrol,8.0,3,29750,Málaga,3990
Volkswagen,Golf,Cabrio 1.9TDI Highline,Convertible,2002,179000,90,Manual,Diesel,6.0,3,29004,Málaga,3999
Chrysler,Sebring,Cabrio 2.7 V6 LX,Convertible,2003,146000,203,Automatic,Petrol,10.2,3,29750,Málaga,4190
Mercedes-Benz,SLK 230,K,Convertible,1997,183400,197,Manual,Petrol,9.8,3,29750,Málaga,4490
Renault,Megane,C.C. 1.6 Confort Dynamique 115,Convertible,2004,99711,114,Manual,Petrol,7.0,3,29620,Málaga,4900
BMW,X3,Todoterreno 177cv Automático de 5 Puertas,Suv,2008,176250,177,Automatic,Diesel,6.7,5,29004,Málaga,9800
Ford,EcoSport,1.5 Ti-VCT Trend,Suv,2016,34220,111,Manual,Petrol,6.3,5,29004,Málaga,11990
Nissan,Qashqai,1.6dCi Black Edition 4x4-i,Suv,2016,142090,131,Manual,Diesel,5.1,5,29004,Málaga,12500
Skoda,Yeti,1.4 TSI Elegance 4x2 90kW,Suv,2015,59000,122,Manual,Petrol,6.4,5,29004,Málaga,13250
Nissan,Juke,1.2 DIG-T N-Connecta 4x2 115,Suv,2019,101161,116,Manual,Petrol,5.6,5,29700,Málaga,14300
Opel,Mokka,X 1.4T S&S Selective 4x2,Suv,2018,43772,140,Manual,Petrol,5.9,5,29004,Málaga,14400
Renault,Captur,TCe eco2 Energy Limited 90,Suv,2019,72000,90,Manual,Petrol,4.9,5,29600,Málaga,15300
Opel,Mokka,X 1.4T S&S Excellence 4x2,Suv,2018,79000,140,Manual,Petrol,5.9,5,29631,Málaga,15400
Kia,Sportage,1.6 GDi Basic 4x2,Suv,2016,54749,132,Manual,Petrol,6.7,5,29004,Málaga,16490
SEAT,Ateca,1.0 TSI S&S Ecomotive Style,Suv,2018,51697,116,Manual,Petrol,5.2,5,29002,Málaga,16900
Mitsubishi,Montero,3.2DI-D Motion,Suv,2011,227430,200,Manual,Diesel,8.0,5,29004,Málaga,17900
Renault,Kadjar,1.5dCi Blue Business 85kW,Suv,2020,27550,116,Manual,Diesel,4.2,5,29600,Málaga,19000
Mitsubishi,Montero,3.2DI-D Spirit 200,Suv,2014,147000,200,Manual,Diesel,8.1,5,29700,Málaga,19500
Nissan,NV200,Combi 7 1.5dCi A/C Gas Comfort,Van,2017,42323,90,Manual,Diesel,5.1,3,29004,Málaga,15800
Nissan,NV200,Combi 5 1.5dCi Pro,Van,2016,72000,90,Manual,Diesel,4.9,3,29004,Málaga,16500
Renault,Twingo,1.5dCi Authentique eco2,Small,2009,185000,64,Manual,Diesel,4.3,5,43204,Tarragona,3795
Opel,Astra,ST 1.7CDTi S/S Selective,Wagon,2013,170000,110,Manual,Diesel,4.5,5,43870,Tarragona,5950
Volkswagen,Passat,Variant 2.0TDI Sport DSG6 110kW,Wagon,2016,205000,150,Automatic,Diesel,4.7,5,43006,Tarragona,12500
Renault,Megane,S.T E-TECH Intens 117kW,Wagon,2020,9650,159,Automatic,Hybrid,0.0,5,43500,Tarragona,22950
Mercedes-Benz,CLA 200,d AMG Line,Wagon,2016,53967,136,Automatic,Diesel,4.0,5,43006,Tarragona,24900
Cupra,Leon,Sportstourer 1.4 TSI e-Hybrid DSG 245,Wagon,2021,10074,245,Automatic,Hybrid,1.6,5,43006,Tarragona,31900
Audi,RS4,Avant TFSI quattro tiptronic,Wagon,2020,14300,450,Automatic,Petrol,9.2,5,43006,Tarragona,92899
Opel,Zafira,1.9CDTi Cosmo 120,Minivan,2009,223966,120,Manual,Diesel,5.9,5,43100,Tarragona,5800
