Year,Kms,Hp,Fuel_cons,Doors,Category_Convertible,Category_Coupe,Category_Minivan,Category_Sedan,Category_Small,Category_Suv,Category_Van,Category_Wagon,Gear_type_Automatic,Gear_type_Manual,Fuel_type_Compressed Natural Gas \(CNG\),Fuel_type_Diesel,Fuel_type_Electric,Fuel_type_Hybrid,Fuel_type_Petrol,Brand_encoded,Model_encoded,Colour_encoded,Province_encoded,Price_EUR
2014,90000,184,6.8,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,28579.558624031008,27577.440476190477,25942.62984273111,36813.32432432433,23990
2021,1,510,5.595992204287643,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,28579.558624031008,84845.24999999996,25942.62984273111,36813.32432432433,119900
2011,100500,245,6.0,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,26918.515603799187,33671.602040816324,22221.02281021898,36813.32432432433,24900
2019,1500,721,11.4,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,205005.08670520232,333751.03225803556,44498.7,36813.32432432433,429900
2020,40750,600,12.1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,26918.515603799187,115316.88126466506,24123.619593345655,36813.32432432433,149000
2018,53900,326,6.4,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,28579.558624031008,38605.176991150445,24123.619593345655,36813.32432432433,53900
2018,49800,326,6.4,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,28579.558624031008,38605.176991150445,27100.51841004184,36813.32432432433,52900
2017,102580,272,5.4,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,26918.515603799187,33671.602040816324,21731.35961383749,36813.32432432433,35600
2018,15030,326,6.4,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,28579.558624031008,38605.176991150445,21731.35961383749,36813.32432432433,55900
2020,16840,450,10.0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,28579.558624031008,58821.333261059684,25942.62984273111,36813.32432432433,89990
2019,24900,411,9.2,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,28579.558624031008,58821.333261059684,25942.62984273111,36813.32432432433,58900
2014,90000,184,6.8,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,28579.558624031008,27577.440476190477,25942.62984273111,36813.32432432433,23990
2021,1,510,5.595992204287643,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,28579.558624031008,84845.24999999996,25942.62984273111,36813.32432432433,119900
2011,100500,245,6.0,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,26918.515603799187,33671.602040816324,22221.02281021898,36813.32432432433,24900
2019,1500,721,11.4,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,205005.08670520232,333751.03225803556,44498.7,36813.32432432433,429900
2020,40750,600,12.1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,26918.515603799187,115316.88126466506,24123.619593345655,36813.32432432433,149000
2018,53900,326,6.4,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,28579.558624031008,38605.176991150445,24123.619593345655,36813.32432432433,53900
2018,49800,326,6.4,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,28579.558624031008,38605.176991150445,27100.51841004184,36813.32432432433,52900
2017,102580,272,5.4,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,26918.515603799187,33671.602040816324,21731.35961383749,36813.32432432433,35600
2018,15030,326,6.4,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,28579.558624031008,38605.176991150445,21731.35961383749,36813.32432432433,55900
2010,110000,160,7.2,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,26918.515603799187,24193.61373390558,21731.35961383749,36813.32432432433,12990
2018,63900,258,5.9,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,28579.558624031008,34742.34693877551,21731.35961383749,36813.32432432433,35900
2010,120000,177,4.8,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,28579.558624031008,11773.427304435434,21731.35961383749,36813.32432432433,10990
2017,42000,258,7.2,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,29532.89401165872,54126.73333333333,18663.85356023287,36813.32432432433,52000
2018,45000,190,4.3,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,26918.515603799187,24193.61373390558,18370.367424242424,36813.32432432433,29900
2021,8600,150,4.2,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,28579.558624031008,23232.75287356322,20621.098532494758,36813.32432432433,35990
2018,56000,170,5.4,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,29532.89401165872,24655.11111111111,20621.098532494758,36813.32432432433,29990
2014,183000,204,5.2,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,26918.515603799187,24193.61373390558,25942.62984273111,36813.32432432433,18000
1994,120000,286,5.595992204287643,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,28579.558624031008,50565.290322578134,25942.62984273111,36813.32432432433,29800
2002,160000,137,8.0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15619.18091286307,2795.8181977118775,24123.619593345655,36813.32432432433,1990
2017,72704,110,4.4,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,18031.51702395965,15010.734375,27100.51841004184,36813.32432432433,20500
