Year,Kms,Hp,Fuel_cons,Doors,Gear_type_Automatic,Gear_type_Manual,Fuel_type_CNG,Fuel_type_Diesel,Fuel_type_Electric,Fuel_type_Hybrid,Fuel_type_LPG,Fuel_type_Petrol,Type_cabrio,Type_coupe,Type_familiar,Type_minivan,Type_other,Type_sedan,Type_small,Type_suv,Type_van,Seller_Dealer,Seller_Private,Brand_encoded,Model_encoded,Colour_encoded,Province_encoded,Price_EUR
2008,150000,174,6.2,5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,17251.958183990442,19240.75,15207.210251954823,22252.94124847001,8900
2010,59600,122,5.5,5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,17251.958183990442,18571.903987595084,15207.210251954823,22252.94124847001,13900
2017,95396,116,4.2,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,26202.40666450987,24204.271812080537,15207.210251954823,22252.94124847001,16290
2018,62730,102,4.2,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,13407.126549249837,21585.10714285714,15207.210251954823,22252.94124847001,20900
2010,86642,105,4.5,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,13946.821985233799,7927.896551724138,15207.210251954823,22252.94124847001,7400
2005,123000,90,5.5,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10412.196983141082,2838.25,15207.210251954823,22252.94124847001,2290
2017,104986,131,4.9,5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,13407.126549249837,18763.294326241135,15207.210251954823,22252.94124847001,15500
2017,74559,116,4.5,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,16542.651072961373,15373.22602739726,15207.210251954823,22252.94124847001,19000
2021,17206,131,4.1,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10412.196983141082,11529.203285420945,15207.210251954823,22252.94124847001,24890
2015,99680,116,4.2,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,26202.40666450987,24204.271812080537,15207.210251954823,22252.94124847001,14950
2003,244526,95,7.5,5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,10412.196983141082,2838.25,15207.210251954823,22252.94124847001,2750
2019,58566,131,4.2,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,13407.126549249837,21585.10714285714,15207.210251954823,22252.94124847001,19364
2016,42000,102,5.2,5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,13167.835322195704,11872.025,15207.210251954823,22252.94124847001,13400
2018,38403,131,5.0,5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,10412.196983141082,11529.203285420945,15207.210251954823,22252.94124847001,17727
2012,152147,90,4.2,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10721.094444444445,10814.666666666666,15207.210251954823,22252.94124847001,6500
2004,146000,150,10.1,5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,5150.49,6449.076923313254,15207.210251954823,22252.94124847001,2499
2007,205000,136,6.3,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,14041.39201183432,12491.681818181818,15207.210251954823,22252.94124847001,4600
2012,95000,140,5.8,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,13946.821985233799,7927.896551724138,15207.210251954823,22252.94124847001,9900
2004,162000,120,6.8,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,11099.399408284024,17485.728260869564,15207.210251954823,22252.94124847001,3500
2015,149123,110,4.4,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10721.094444444445,10814.666666666666,15207.210251954823,22252.94124847001,8300
2004,112000,143,9.4,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,29082.68607594937,22000.803183791606,15207.210251954823,22252.94124847001,5900
2015,60000,460,15.5,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,53199.354838709674,74614.60856661663,15207.210251954823,22252.94124847001,77990
2010,170950,160,7.6,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,16542.651072961373,9334.41935484003,15207.210251954823,22252.94124847001,8900
2007,73000,306,9.5,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,26202.40666450987,14949.803921568628,15207.210251954823,22252.94124847001,18500
2007,73000,306,9.5,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,26202.40666450987,14949.803921568628,15207.210251954823,22252.94124847001,18500
2009,175839,170,9.0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,18253.76070528967,7596.111768117341,15207.210251954823,22252.94124847001,8600
2015,113656,110,3.7,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11099.399408284024,13156.283333333333,15207.210251954823,22252.94124847001,11490
2017,77000,313,5.2,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,24287.115577889446,25371.865081940126,15207.210251954823,22252.94124847001,29990
2018,33000,132,5.6,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,11099.399408284024,16706.44230769231,15207.210251954823,22252.94124847001,16490
2016,63691,90,4.9,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,11099.399408284024,13156.283333333333,15207.210251954823,22252.94124847001,12570
2017,46238,120,5.5,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,11099.399408284024,13156.283333333333,15207.210251954823,22252.94124847001,13645
2015,100448,120,5.5,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,11099.399408284024,13156.283333333333,15207.210251954823,22252.94124847001,11900
